Issue Key,Issue Name,Issue Type,Components,Total Worklog Time (hours),Time in Done (hours),Time in In Progress (hours),Time in Review (hours),Time in Testing (hours),Time in To Do (hours),Transitions from Done,Transitions from In Progress,Transitions from Review,Transitions from Testing,Transitions from To Do
YIAM-162,iOS - Infinity loading u profilového obrázku unvield yiamíků,Bug,,1.5,0,0.6816249999999999,24.061083888888888,2.8805674999999997,0,0,1,1,1,1
YIAM-163,iOS - Messages - Zpráva se odesílá vícekrát při rychlém klikání.,Bug,,0.25,0,1.9905472222222222,64.04389472222222,5.4822225,0,0,1,1,1,1
YIAM-165,iOS - messages - Odpočítávání chatu pokračuje na druhém zařízení po Yiameetu.,Bug,,0.25,0,1.9333008333333332,64.04365555555556,11.418734722222222,0,0,1,1,1,1
YIAM-161,iOS/BE - Nesprávné zobrazení vzdálenosti u yiamíků,Bug,,4.5,0,0.6817597222222223,24.060836944444446,2.884151388888889,0,0,1,1,1,1
YIAM-160,iOS - chat - nefunguje tlačítko Yiameet,Bug,,0,0,0.2671572222222222,1.4588772222222222,5.576226388888889,0,0,1,1,1,1
YIAM-159,EN - chybky v anglictine,Bug,,1.0,0,2.7413286111111113,65.14632916666666,9.430930277777778,0.36027777777777775,0,3,2,2,2
YIAM-157,iOS - Nesoulad profilové ikony mezi uživateli.,Bug,,0.25,0,0.06796944444444444,11.780875,22.397663611111113,0,0,1,1,1,1
YIAM-158,iOS - Nejde vytvořit chat ,Bug,,4.25,0,0.0009802777777777778,11.499639166666666,21.43573166666667,3.767911111111111,0,2,2,1,2
YIAM-154,iOS - Yiameets - Počet Yiameetů nezohledňuje opakované setkání.,Bug,,2.0,0,0.39014944444444444,0.0007775,28.419590555555555,0,0,1,1,1,1
YIAM-153,ios - lets meet up - Časovač chatu se nezastaví po „Yiameetu“.,Bug,,0,0,0.0004555555555555555,39.44706888888889,77.32122138888889,0,0,1,1,1,1
YIAM-155,BE - Home - Filtrovanie yiamerov,Bug,BE,2.0,0,0.0005477777777777778,0.0005291666666666667,72.56014555555555,0,0,1,1,1,1
YIAM-151,iOS - messages - Věk uživatele zobrazen jako 0 years old.,Bug,,0.25,0,2.7189230555555555,1.4675797222222222,61.348012499999996,0.021143333333333333,0,2,2,2,2
YIAM-152,iOS - messages - Unviel a Let's meet up nemá limitaci,Bug,,0.5,0,2.639878333333333,2.922174722222222,115.042255,0,0,2,2,2,1
YIAM-149,iOS - Home - Chybějící uvítací text po skipnutí povolení. (Fáze 2),Bug,,4.5,0,189.47339555555556,0,0,0,0,1,0,0,1
YIAM-150,iOS - Home - Navázaný kontakt zůstává na Home obrazovce.,Bug,,1.5,0,1.84515,0.33589416666666666,3.1578069444444443,0,0,1,1,1,1
YIAM-148,iOS - Home - chybná toast message,Bug,,0,0,1.2159133333333332,0.2546027777777778,2.112501388888889,0,0,1,1,1,1
YIAM-147,iOS - Home - Error při rozkliknutí detailu uživatele po onboardingu.,Bug,,0.5,0,1.9379405555555556,0.24331388888888889,3.0469766666666667,0,0,1,1,1,1
YIAM-146,iOS - Home - Placeholder chat nezmizí po vytvoření uživatele.,Bug,,1.75,0,4.858105277777778,19.366436666666665,4.17095,0,0,2,2,1,1
YIAM-143,iOS - Home - řazení chatů,Bug,,1.0,0,0.6199661111111111,3.3742513888888888,7.912357222222222,0,0,1,1,1,1
YIAM-144,iOS - Home/Recent chats - random měnící se mozky uživatelů,Bug,,0.25,0,0.6928355555555555,3.3742625,7.493983055555556,0,0,1,1,1,1
YIAM-141,iOS - onboarding - nejde zvolit jiný rok <18,Bug,,0.5,0,139.00707916666667,3.3741069444444443,7.917196944444444,0,0,1,1,1,1
YIAM-145,iOS - Detail profilu - Chyba při přesměrování do existujícího chatu.,Bug,,0,0,0.19911722222222222,3.3742552777777775,7.490045277777778,0,0,1,1,1,1
YIAM-140,iOS - onboarding - error msg na špatné obrazovce ,Bug,,0.5,0,0.17774305555555556,3.3740761111111115,7.922109166666667,0,0,1,1,1,1
YIAM-138,iOS - app si nepamatuje permitions,Bug,,0,0,0,0.0004761111111111111,0.0005116666666666667,0,0,0,1,1,1
YIAM-139,iOS - onboarding - nepříjdou permitions,Bug,,1.75,0,1.1407016666666667,0.33628083333333336,4.171447777777778,0,0,1,1,1,1
YIAM-137,iOS - Settings - nejde vypnout notifikace,Bug,,0.5,0,0.33290694444444446,13.704160277777778,28.012789166666664,0,0,2,2,2,1
YIAM-136,Daymaker List: iOS - UI Update,Sub-task,iOS,3.0,0,15.557195833333333,28.016838333333332,533.7229727777778,0,0,1,1,1,1
YIAM-135,Onboarding - uprava zaujmov - iOS,Sub-task,iOS,4.0,0,7.998413611111111,13.404741111111111,563.3287422222222,0,0,1,1,1,1
YIAM-133,Onboarding - uprava zaujmov,Story,,0,0,0,0.0007980555555555556,0.0005180555555555556,0,0,0,1,1,1
YIAM-134,Onboarding - uprava zaujmov - BE,Sub-task,BE,3.0,0,68.32610388888888,1.272321111111111,585.0885833333333,0,0,1,1,1,1
YIAM-130,iOS - změna barev na preview obrazovkách,Bug,,0,0,3.3235094444444444,19.032030277777775,6.235983611111111,0,0,1,1,1,1
YIAM-131,iOS - Gather information and send to BE,Sub-task,iOS,8.0,0,0,0.0005830555555555556,0.0004944444444444445,0,0,0,1,1,1
YIAM-132,iOS - Nefungujúca navigácia,Bug,iOS,8.0,0,0,0.11358333333333333,661.4170327777778,0,0,0,1,1,1
YIAM-128,iOS - toast message po smazaní účtu,Bug,,0.75,0,0,51.9424975,482.03477416666664,0,0,0,1,1,1
YIAM-127,iOS - neintuitivní klávesnice,Bug,,6.0,0,0.00024194444444444445,1.8082530555555556,4.964909166666667,0,0,1,1,1,1
YIAM-126,iOS 17 - mizející popup ,Bug,,2.5,0,0,3.42604,0.9036947222222222,0,0,0,1,1,1
